Id,Attrition
1,0.1
2,0.5
3,0.0
4,0.1
5,0.1
6,0.2
7,0.7
8,0.2
9,0.3
10,0.0
11,0.0
12,0.1
13,0.2
14,0.1
15,0.2
16,0.1
17,0.5
18,0.2
19,0.0
20,0.1
21,0.0
22,0.7
23,0.0
24,0.2
25,0.3
26,0.1
27,0.0
28,0.1
29,0.7
30,0.2
31,0.1
32,0.1
33,0.2
34,0.2
35,0.0
36,0.1
37,0.2
38,0.1
39,0.2
40,0.2
41,0.5
42,0.1
43,0.0
44,0.5
45,0.1
46,0.0
47,0.1
48,0.1
49,0.0
50,0.4
51,0.4
52,0.0
53,0.2
54,0.5
55,0.1
56,0.2
57,0.1
58,0.3
59,0.1
60,0.0
61,0.1
62,0.0
63,0.4
64,0.0
65,0.1
66,0.0
67,0.1
68,0.0
69,0.4
70,0.1
71,0.3
72,0.0
73,0.3
74,0.2
75,0.2
76,0.4
77,0.3
78,0.2
79,0.1
80,0.3
81,0.0
82,0.1
83,0.1
84,0.0
85,0.2
86,0.1
87,0.3
88,0.4
89,0.1
90,0.5
91,0.1
92,0.0
93,0.5
94,0.3
95,0.3
96,0.3
97,0.1
98,0.1
99,0.1
100,0.0
101,0.4
102,0.1
103,0.1
104,0.1
105,0.2
106,0.1
107,0.0
108,0.2
109,0.3
110,0.0
111,0.2
112,0.1
113,0.2
114,0.1
115,0.1
116,0.0
117,0.1
118,0.1
119,0.1
120,0.0
121,0.3
122,0.3
123,0.0
124,0.4
125,0.1
126,0.0
127,0.3
128,0.3
129,0.6
130,0.2
131,0.1
132,0.1
133,0.3
134,0.0
135,0.0
136,0.2
137,0.4
138,0.1
139,0.3
140,0.0
141,0.4
142,0.0
143,0.0
144,0.0
145,0.1
146,0.4
147,0.2
148,0.7
149,0.0
150,0.1
151,0.2
152,0.3
153,0.1
154,0.5
155,0.2
156,0.1
157,0.0
158,0.1
159,0.0
160,0.0
161,0.2
162,0.0
163,0.1
164,0.2
165,0.0
166,0.4
167,0.2
168,0.1
169,0.0
170,0.1
171,0.2
172,0.0
173,0.2
174,0.0
175,0.0
176,0.1
177,0.1
178,0.1
179,0.3
180,0.1
181,0.2
182,0.1
183,0.2
184,0.1
185,0.5
186,0.2
187,0.2
188,0.1
189,0.0
190,0.0
191,0.2
192,0.0
193,0.0
194,0.6
195,0.4
196,0.1
197,0.3
198,0.3
199,0.1
200,0.0
201,0.2
202,0.1
203,0.1
204,0.0
205,0.0
206,0.0
207,0.3
208,0.2
209,0.2
210,0.3
211,0.3
212,0.2
213,0.4
214,0.4
215,0.4
216,0.5
217,0.5
218,0.1
219,0.1
220,0.2
221,0.0
222,0.2
223,0.4
224,0.4
225,0.3
226,0.1
227,0.1
228,0.1
229,0.0
230,0.1
231,0.4
232,0.2
233,0.0
234,0.2
235,0.0
236,0.3
237,0.0
238,0.2
239,0.5
240,0.0
241,0.0
242,0.1
243,0.3
244,0.4
245,0.3
246,0.0
247,0.2
248,0.3
249,0.0
250,0.3
251,0.4
252,0.1
253,0.0
254,0.2
255,0.0
256,0.6
257,0.0
258,0.3
259,0.2
260,0.3
261,0.0
262,0.0
263,0.0
264,0.5
265,0.3
266,0.1
267,0.0
268,0.0
269,0.3
270,0.1
271,0.0
272,0.1
273,0.6
274,0.3
275,0.4
276,0.1
277,0.2
278,0.2
279,0.2
280,0.0
281,0.3
282,0.3
283,0.4
284,0.3
285,0.2
286,0.5
287,0.2
288,0.5
289,0.1
290,0.2
291,0.4
292,0.3
293,0.2
294,0.0
295,0.1
296,0.2
297,0.2
298,0.4
299,0.3
300,0.3
301,0.1
302,0.0
303,0.0
304,0.6
305,0.1
306,0.3
307,0.1
308,0.2
309,0.3
310,0.1
311,0.3
312,0.3
313,0.2
314,0.1
315,0.1
316,0.1
317,0.4
318,0.3
319,0.1
320,0.1
321,0.0
322,0.1
323,0.0
324,0.0
325,0.5
326,0.2
327,0.3
328,0.3
329,0.4
330,0.1
331,0.1
332,0.1
333,0.0
334,0.1
335,0.1
336,0.2
337,0.4
338,0.1
339,0.1
340,0.4
341,0.4
342,0.6
343,0.0
344,0.2
345,0.3
346,0.1
347,0.0
348,0.0
349,0.1
350,0.2
351,0.1
352,0.0
353,0.4
354,0.1
355,0.0
356,0.3
357,0.3
358,0.1
359,0.3
360,0.4
361,0.1
362,0.1
363,0.1
364,0.4
365,0.5
366,0.2
367,0.2
368,0.3
369,0.4
370,0.5
371,0.0
372,0.0
373,0.1
374,0.4
375,0.0
376,0.0
377,0.2
378,0.3
379,0.6
380,0.1
381,0.7
382,0.2
383,0.1
384,0.2
385,0.4
386,0.4
387,0.3
388,0.3
389,0.2
390,0.2
391,0.2
392,0.1
393,0.5
394,0.0
395,0.2
396,0.1
397,0.7
398,0.0
399,0.3
400,0.3
401,0.3
402,0.1
403,0.3
404,0.3
405,0.5
406,0.1
407,0.4
408,0.2
409,0.2
410,0.1
411,0.2
412,0.1
413,0.1
414,0.2
415,0.0
416,0.0
417,0.6
418,0.3
419,0.1
420,0.0
421,0.2
422,0.4
423,0.1
424,0.1
425,0.4
426,0.0
427,0.2
428,0.0
429,0.2
430,0.2
431,0.0
432,0.0
433,0.1
434,0.2
435,0.5
436,0.0
437,0.1
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.1
445,0.1
446,0.2
447,0.0
448,0.4
449,0.0
450,0.0
451,0.2
452,0.2
453,0.5
454,0.3
455,0.2
456,0.0
457,0.4
458,0.2
459,0.3
460,0.1
461,0.0
462,0.0
463,0.3
464,0.2
465,0.3
466,0.3
467,0.6
468,0.4
469,0.0
470,0.2
